source,target
62012CJ0252,61195CJ0251
61954CJ0007,61954CJ0001
61978CJ0149,61954CJ0001
61989CJ0291,61954CJ0001
61989CJ0304,61954CJ0001
61954CJ0003,61954CJ0002
61989CJ0291,61954CJ0002
61989CJ0304,61954CJ0002
61955CJ0005,61954CJ0003
61978CJ0154,61954CJ0006
61992CJ0128,61954CJ0007
61998CJ0390,61954CJ0007
61956CJ0007,61955CJ0001
61954CJ0002,61955CJ0005
61956CJ0009,61955CJ0008
61956CJ0010,61955CJ0008
61981CJ0014,61956CJ0002
61981CJ0014,61956CJ0007
61999CJ0500,61956CJ0007
62003CJ0508,61956CJ0007
61958CJ0036,61956CJ0009
61960CJ0014,61956CJ0009
61978CJ0092,61956CJ0009
61978CJ0154,61956CJ0009
61985CJ0081,61956CJ0009
62000CO0345,61956CJ0009
62002CJ0301,61956CJ0009
62004CJ0154,61956CJ0009
62012CJ0270,61956CJ0009
62013CJ0146,61956CJ0009
62013CJ0147,61956CJ0009
62013CJ0409,61956CJ0009
61958CJ0036,61956CJ0010
61985CJ0081,61956CJ0010
61978CJ0154,61957CJ0008
61982CJ0140,61957CJ0008
62000CJ0052,61957CJ0008
62000CJ0154,61957CJ0008
61992CJ0128,61957CJ0013
61959CJ0014,61957CJ0015
61978CJ0092,61957CJ0015
61985CJ0081,61957CJ0015
61989CJ0291,61957CJ0018
61989CJ0304,61957CJ0018
62010CJ0539,61958CJ0003
62010CJ0539,61958CJ0004
62010CJ0539,61958CJ0005
62010CJ0539,61958CJ0006
62010CJ0539,61958CJ0007
62010CJ0539,61958CJ0008
62010CJ0539,61958CJ0009
62010CJ0539,61958CJ0010
62010CJ0539,61958CJ0011
62010CJ0539,61958CJ0012
62010CJ0539,61958CJ0013
62010CJ0539,61958CJ0014
62010CJ0539,61958CJ0015
62010CJ0539,61958CJ0016
62010CJ0539,61958CJ0017
62010CJ0539,61958CJ0018
62010CJ0539,61958CJ0019
61958CJ0032,61958CJ0020
61958CJ0042,61958CJ0020
62010CJ0539,61958CJ0020
61958CJ0032,61958CJ0021
61958CJ0042,61958CJ0021
62010CJ0539,61958CJ0021
61958CJ0032,61958CJ0022
61958CJ0042,61958CJ0022
62010CJ0539,61958CJ0022
61958CJ0032,61958CJ0023
61958CJ0042,61958CJ0023
62010CJ0539,61958CJ0023
61983CJ0172,61958CJ0024
61986CJ0236,61958CJ0024
62010CJ0539,61958CJ0024
62010CJ0539,61958CJ0025
62010CJ0539,61958CJ0026
61958CJ0042,61958CJ0032
