source,subject
62016CJ0267,Free movement of goods
62016CJ0267,Accession
62016CJ0267,French overseas departments
62016CJ0267,Approximation of laws
62016CJ0281,Environment
62016CJ0281,Accession
62014CJ0409,Approximation of laws
62014CJ0409,Taxation
62014CJ0409,Principles; objectives and tasks of the Treaties
62014CJ0409,Free movement of goods
62014CJ0409,Accession
62014CJ0409,Customs Union
62014CJ0409,Common customs tariff
62013CJ0660,External relations
62013CJ0660,Accession
62013CJ0660,Provisions governing the Institutions
62014CJ0103,Agriculture and Fisheries
62014CJ0103,Accession
62013CJ0586,Accession
62013CJ0586,Freedom to provide services
62013CJ0586,Free movement of workers
62013CJ0539,Accession
62011CJ0262,State aids
62011CJ0262,Competition
62011CJ0262,Accession
62011CJ0471,Accession
62011CJ0471,Agriculture and Fisheries
62011CJ0471,Sugar
62011CJ0146,Accession
62011CJ0146,Agriculture and Fisheries
62011CJ0146,Milk products
62009CJ0336,Accession
62009CJ0336,Agriculture and Fisheries
62009CJ0336,Sugar
62011CJ0015,Citizenship of the Union
62011CJ0015,Accession
62011CJ0015,area of freedom; security and justice
62011CJ0015,Immigration and asylum policy
62011CJ0015,Right of entry and residence
62010CJ0017,Competition
62010CJ0017,Accession
62010CJ0017,Agreements; decisions and concerted practices
62009CJ0410,Accession
62009CJ0307,Right of establishment
62009CJ0307,Accession
62009CJ0307,Freedom to provide services
62008CJ0385,Accession
62008CJ0385,Approximation of laws
62008CJ0350,Accession
62008CJ0350,public health
62008CJ0350,Approximation of laws
62009CJ0248,Free movement of goods
62009CJ0248,Accession
62009CJ0248,Customs Union
62009CJ0248,Value added tax
62009CJ0248,Taxation
62008CJ0140,Agriculture and Fisheries
62008CJ0140,Eggs and poultry
62008CJ0140,Customs Union
62008CJ0140,Free movement of goods
62008CJ0140,Accession
62008CJ0140,Common customs tariff
62007CJ0560,Accession
62007CJ0560,Agriculture and Fisheries
62007CJ0560,Sugar
62007CJ0420,area of freedom; security and justice
62007CJ0420,judicial cooperation in civil matters
62007CJ0420,Accession
62006CJ0161,Customs Union
62006CJ0161,Acts of the institutions
62006CJ0161,Accession
62006CJ0161,Free movement of goods
62006CJ0161,Provisions governing the Institutions
62006CJ0184,Accession
62006CJ0184,Fisheries policy
62006CJ0184,Agriculture and Fisheries
62005CJ0141,Fisheries policy
62005CJ0141,Accession
62005CJ0141,Agriculture and Fisheries
62004CJ0273,Agriculture and Fisheries
62004CJ0273,Accession
62004CJ0134,Fisheries policy
62004CJ0134,Accession
62004CJ0134,Agriculture and Fisheries
62004CJ0414,Energy
62004CJ0414,Approximation of laws
62004CJ0414,Accession
62004CJ0413,Approximation of laws
62004CJ0413,Accession
62004CJ0413,Energy
62005CJ0140,Customs Union
62005CJ0140,Common customs tariff
62005CJ0140,Accession
62005CJ0140,Free movement of goods
62005CJ0140,Taxation
62005CJ0140,Excise duties
62003CJ0087,Fisheries policy
62003CJ0087,Accession
62003CJ0087,Agriculture and Fisheries
62002CJ0293,Agriculture and Fisheries
62002CJ0293,Free movement of goods
62002CJ0293,Accession
62002CJ0293,Quantitative restrictions
62002CJ0293,Measures having equivalent effect
62002CJ0293,Customs Union
62002CJ0293,Potatoes
62003CJ0349,Accession
62003CJ0349,Approximation of laws
62003CJ0349,Taxation
62003CJ0349,Value added tax
62001CJ0356,Accession
62001CJ0356,Transport
62001CJ0030,Environment
62001CJ0030,Accession
62001CJ0030,Approximation of laws
62001CJ0030,Waste
62000CJ0445,Transport
62000CJ0445,Accession
62001CJ0300,Accession
62001CJ0300,Free movement of capital
61999CJ0029,Euratom matters
61999CJ0029,Health and safety
61999CJ0029,Accession
61999CJ0029,Provisions governing the Institutions
61998CJ0367,Right of establishment
61998CJ0367,Accession
61998CJ0367,Free movement of capital
62000CJ0179,Oils and fats
62000CJ0179,Accession
62000CJ0179,Agriculture and Fisheries
61999CJ0192,Citizenship of the Union
61999CJ0192,Accession
61999CJ0192,Free movement of workers
61997CJ0355,Accession
61997CJ0355,Right of establishment
61997CJ0355,Free movement of workers
61997CJ0206,Accession
61997CJ0206,Fisheries policy
61997CJ0206,Agriculture and Fisheries
61997CJ0321,Accession
61997CJ0321,Social Policy
61997CJ0233,Accession
61997CJ0233,Free movement of goods
61997CJ0233,Customs Union
61996CJ0171,Accession
61996CJ0171,Free movement of workers
61996CJ0027,Accession
61996CJ0027,Sugar
61996CJ0027,Agriculture and Fisheries
61995CJ0259,Consumer protection
61995CJ0259,Approximation of laws
61995CJ0259,Accession
61994CJ0160,Measures having equivalent effect
61994CJ0160,Quantitative restrictions
61994CJ0160,State monopolies of a commercial character
61994CJ0160,Free movement of goods
61994CJ0160,Accession
61995CJ0138,Sugar
61995CJ0138,Agriculture and Fisheries
61995CJ0138,Accession
61995CJ0071,Agriculture and Fisheries
61995CJ0071,External relations
61995CJ0071,Commercial policy
61995CJ0071,Fruit and vegetables
61995CJ0071,Accession
61995CJ0071,Bananas
61995CJ0047,Customs Union
61995CJ0047,Free movement of goods
61995CJ0047,Accession
61995CJ0267,Measures having equivalent effect
61995CJ0267,Quantitative restrictions
61995CJ0267,Intellectual; industrial and commercial property
61995CJ0267,Patents
61995CJ0267,Accession
61995CJ0267,Free movement of goods
61994CJ0300,Common customs tariff
61994CJ0300,Accession
61994CJ0300,Free movement of goods
61994CJ0300,Customs Union
61994CJ0045,Accession
61994CJ0045,Free movement of goods
61994CJ0045,Charges having an equivalent effect
61994CJ0045,Customs Union
61991CJ0171,Accession
61991CJ0171,Free movement of workers
61991CJ0292,Customs Union
61991CJ0292,Free movement of goods
61991CJ0292,Accession
61991CJ0292,External relations
61991CJ0076,Accession
61991CJ0076,Free movement of goods
61991CJ0076,State monopolies of a commercial character
61991CJ0076,Quantitative restrictions
61990CJ0361,Accession
61990CJ0361,Free movement of goods
61990CJ0361,State monopolies of a commercial character
61990CJ0361,Quantitative restrictions
61989CJ0279,Freedom to provide services
61989CJ0279,Free movement of workers
61989CJ0279,Accession
61989CJ0279,Right of establishment
61990CJ0191,Intellectual; industrial and commercial property
61990CJ0191,Patents
61990CJ0191,Accession
61990CJ0191,Free movement of goods
61990CJ0191,Quantitative restrictions
61990CJ0191,Measures having equivalent effect
61990CJ0071,Agriculture and Fisheries
61990CJ0071,External relations
61990CJ0071,Accession
61990CJ0071,Fisheries policy
61990CJ0063,Agriculture and Fisheries
61990CJ0063,Fisheries policy
61990CJ0063,External relations
61990CJ0063,Accession
61990CJ0073,Agriculture and Fisheries
61990CJ0073,Fisheries policy
61990CJ0073,External relations
61990CJ0073,Accession
61990CJ0070,Agriculture and Fisheries
61990CJ0070,Accession
61990CJ0070,External relations
61990CJ0070,Fisheries policy
61989CJ0313,Freedom to provide services
61989CJ0313,Right of establishment
61989CJ0313,Accession
61989CJ0146,Accession
61989CJ0146,Fisheries policy
61989CJ0146,Agriculture and Fisheries
61989CJ0355,Free movement of workers
61989CJ0355,Accession
61989CJ0099,Accession
61989CJ0099,Social security for migrant workers
61989CJ0046,Accession
61989CJ0046,Potatoes
61989CJ0046,Non-contractual liability
61989CJ0046,Agriculture and Fisheries
61989CJ0113,Free movement of workers
61989CJ0113,Freedom to provide services
61989CJ0113,Accession
61988CJ0337,Oils and fats
61988CJ0337,Agriculture and Fisheries
61988CJ0337,Accession
61987CJ0003,Agriculture and Fisheries
61987CJ0003,Accession
61987CJ0003,Fisheries policy
61987CJ0216,Freedom to provide services
61987CJ0216,Accession
61987CJ0216,Right of establishment
61987CJ0216,Fisheries policy
61987CJ0216,Agriculture and Fisheries
61988CJ0136,Accession
61988CJ0136,Agriculture and Fisheries
61987CJ0097,Concerted practices
61987CJ0097,Competition
61987CJ0097,Agreements; decisions and concerted practices
61987CJ0097,Accession
61988CJ0009,Free movement of workers
61988CJ0009,Accession
61988CJ0170,Customs Union
61988CJ0170,Free movement of goods
61988CJ0170,Accession
61988CJ0170,Charges having an equivalent effect
61986CJ0250,Agriculture and Fisheries
61986CJ0250,Sugar
61986CJ0250,Accession
61986CJ0250,French overseas departments
61987CJ0229,Accession
61987CJ0229,Free movement of goods
61987CJ0229,Customs Union
61987CJ0229,Charges having an equivalent effect
61986CJ0203,Milk products
61986CJ0203,Agriculture and Fisheries
61986CJ0203,Accession
61986CJ0253,Accession
61986CJ0253,Wine
61986CJ0253,Agriculture and Fisheries
61986CJ0031,Sugar
61986CJ0031,Agriculture and Fisheries
61986CJ0031,Accession
61986CJ0097,Fruit and vegetables
61986CJ0097,Accession
61986CJ0097,Agriculture and Fisheries
61986CJ0207,Agriculture and Fisheries
61986CJ0207,Fisheries policy
61986CJ0207,Accession
61986CJ0147,Accession
61986CJ0147,Right of establishment
61986CJ0147,Freedom to provide services
61986CJ0147,Free movement of workers
61985CJ0194,Measures having equivalent effect
61985CJ0194,Agriculture and Fisheries
61985CJ0194,Quantitative restrictions
61985CJ0194,African; Caribbean and Pacific States (ACP)
61985CJ0194,Bananas
61985CJ0194,Free movement of goods
61985CJ0194,External relations
61985CJ0194,Fruit and vegetables
61985CJ0194,Accession
61986CJ0223,Fisheries policy
61986CJ0223,Accession
61986CJ0223,Agriculture and Fisheries
61986CJ0055,Agriculture and Fisheries
61986CJ0055,Fisheries policy
61986CJ0055,Accession
61984CJ0194,Accession
61984CJ0194,Free movement of capital
61986CJ0254,Accession
61986CJ0254,Free movement of goods
61986CJ0254,Protective measures
61986CJ0119,Agriculture and Fisheries
61986CJ0119,Wine
61986CJ0119,Free movement of goods
61986CJ0119,Plants and flowers
61986CJ0119,Accession
61986CJ0119,Fruit and vegetables
61986CJ0119,Quantitative restrictions
61986CJ0119,Measures having equivalent effect
61986CJ0128,Wine
61986CJ0128,Agriculture and Fisheries
61986CJ0128,Monetary measures in the field of agriculture
61986CJ0128,Accession
61984CJ0044,Accession
61984CJ0044,Privileges and immunities
61984CJ0071,Agriculture and Fisheries
61984CJ0071,Pigmeat
61984CJ0071,Monetary measures in the field of agriculture
61984CJ0071,Accession compensatory amounts
61984CJ0071,Accession
61984CJ0071,Non-contractual liability
61983CJ0192,Fruit and vegetables
61983CJ0192,Accession
61983CJ0192,Agriculture and Fisheries
61982CJ0011,Commercial policy
61982CJ0011,Protective measures
61982CJ0011,External relations
61982CJ0011,Accession
61983CJ0289,Potatoes
61983CJ0289,Commercial policy
61983CJ0289,Agreements; decisions and concerted practices
61983CJ0289,External relations
61983CJ0289,Accession
61983CJ0289,Agriculture and Fisheries
61983CJ0289,Dumping
61983CJ0289,Protective measures
61983CJ0289,State aids
61983CJ0289,Competition
61983CJ0063,Agriculture and Fisheries
61983CJ0063,Fisheries policy
61983CJ0063,Accession
61983CJ0114,Agriculture and Fisheries
61983CJ0114,Dumping
61983CJ0114,State aids
61983CJ0114,Competition
61983CJ0114,Protective measures
61983CJ0114,Potatoes
61983CJ0114,Commercial policy
61983CJ0114,External relations
61983CJ0114,Accession
61983CJ0012,Staff regulations and employment conditions - EC
61983CJ0012,Accession
61983CJ0058,Accession
61983CJ0058,Free movement of goods
61983CJ0058,Measures having equivalent effect
61983CJ0058,Quantitative restrictions
61983CJ0024,Accession
61983CJ0024,Fisheries policy
61983CJ0024,Agriculture and Fisheries
61982CJ0031,Steel industry
61982CJ0031,Accession
61982CJ0031,Production quotas
61982CJ0031,ECSC matters
61982CJ0222,Accession
61982CJ0222,Fruit and vegetables
61982CJ0222,Free movement of goods
61982CJ0222,Agriculture and Fisheries
61982CJ0222,Measures having equivalent effect
61982CJ0222,Quantitative restrictions
61982CJ0087,Accession
61982CJ0087,Fisheries policy
61982CJ0087,Environment
61982CJ0087,Agriculture and Fisheries
61982CJ0077,Free movement of workers
61982CJ0077,Accession
61981CJ0258,ECSC matters
61981CJ0258,Production quotas
61981CJ0258,Accession
61981CJ0258,Steel industry
61981CJ0287,Fisheries policy
61981CJ0287,Accession
61981CJ0287,Agriculture and Fisheries
61981CJ0287,Environment
61981CJ0250,Accession
61981CJ0250,Fruit and vegetables
61981CJ0250,Agriculture and Fisheries
61981CJ0039,Accession
61981CJ0039,ECSC matters
61981CJ0039,Production quotas
61981CJ0039,Steel industry
61981CJ0021,Environment
61981CJ0021,Fisheries policy
61981CJ0021,Accession
61981CJ0021,Agriculture and Fisheries
61980CJ0269,Accession
61980CJ0269,Fisheries policy
61980CJ0269,Environment
61980CJ0269,Agriculture and Fisheries
61980CJ0250,Cereals
61980CJ0250,Agriculture and Fisheries
61980CJ0250,Accession
61980CJ0250,Accession compensatory amounts
61980CJ0124,Accession
